| Token Type               | Value       |   Line Number |
| OBJ_CREATOR              | makeObj     |            63 |
| IDENTIFIER               | A           |            63 |
| ROUND_BRACKET_OPEN       | (           |            63 |
| ROUND_BRACKET_CLOSE      | )           |            63 |
| SEMICOLON                | ;           |            63 |
| DECLARE                  | declare     |            64 |
| DATA_TYPE                | float       |            64 |
| IDENTIFIER               | myval       |            64 |
| ASSIGNMENT_OPERATOR      | =           |            64 |
| IDENTIFIER               | a           |            64 |
| PLUS_MINUS               | +           |            64 |
| IDENTIFIER               | obj12       |            64 |
| DOT                      | .           |            64 |
| IDENTIFIER               | myFunc      |            64 |
| ROUND_BRACKET_OPEN       | (           |            64 |
| ROUND_BRACKET_CLOSE      | )           |            64 |
| DOT                      | .           |            64 |
| IDENTIFIER               | myVar       |            64 |
| POINTER_MULTIPLY         | *           |            64 |
| FLOAT_LITERAL            | 55.0        |            64 |
| SEMICOLON                | ;           |            64 |
| DECLARE                  | declare     |            65 |
| DATA_TYPE                | float       |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| INTEGER_LITERAL          | 2           |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| INTEGER_LITERAL          | 2           |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| IDENTIFIER               | arr3        |            65 |
| ASSIGNMENT_OPERATOR      | =           |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| FLOAT_LITERAL            | 1.0         |            65 |
| DIVIDE_MODULUS           | /           |            65 |
| FLOAT_LITERAL            | 0.0         |            65 |
| COMMA                    | ,           |            65 |
| FLOAT_LITERAL            | 1.0         |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| COMMA                    | ,           |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| FLOAT_LITERAL            | 2.0         |            65 |
| COMMA                    | ,           |            65 |
| FLOAT_LITERAL            | 2.0         |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| COMMA                    | ,           |            65 |
| SQUARE_BRACKET_OPEN      | [           |            65 |
| FLOAT_LITERAL            | 3.0         |            65 |
| COMMA                    | ,           |            65 |
| FLOAT_LITERAL            | 3.0         |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| SQUARE_BRACKET_CLOSE     | ]           |            65 |
| SEMICOLON                | ;           |            65 |
| DECLARE                  | declare     |            66 |
| IDENTIFIER               | C           |            66 |
| SQUARE_BRACKET_OPEN      | [           |            66 |
| SQUARE_BRACKET_CLOSE     | ]           |            66 |
| IDENTIFIER               | arr4        |            66 |
| ASSIGNMENT_OPERATOR      | =           |            66 |
| SQUARE_BRACKET_OPEN      | [           |            66 |
| OBJ_CREATOR              | makeObj     |            66 |
| IDENTIFIER               | C           |            66 |
| ROUND_BRACKET_OPEN       | (           |            66 |
| ROUND_BRACKET_CLOSE      | )           |            66 |
| SQUARE_BRACKET_CLOSE     | ]           |            66 |
| SEMICOLON                | ;           |            66 |
| WHILE                    | while       |            67 |
| ROUND_BRACKET_OPEN       | (           |            67 |
| NOT_OPERATOR             | !           |            67 |
| ROUND_BRACKET_OPEN       | (           |            67 |
| IDENTIFIER               | a           |            67 |
| RELATIONAL_OPERATOR      | <           |            67 |
| IDENTIFIER               | b           |            67 |
| ROUND_BRACKET_CLOSE      | )           |            67 |
| ROUND_BRACKET_CLOSE      | )           |            67 |
| CURLY_BRACKET_OPEN       | {           |            67 |
| DECLARE                  | declare     |            68 |
| DATA_TYPE                | float       |            68 |
| IDENTIFIER               | y           |            68 |
| SEMICOLON                | ;           |            68 |
| CURLY_BRACKET_CLOSE      | }           |            69 |
| FOR                      | for         |            70 |
| ROUND_BRACKET_OPEN       | (           |            70 |
| DECLARE                  | declare     |            70 |
| DATA_TYPE                | int         |            70 |
| IDENTIFIER               | i           |            70 |
| ASSIGNMENT_OPERATOR      | =           |            70 |
| INTEGER_LITERAL          | 0           |            70 |
| SEMICOLON                | ;           |            70 |
| IDENTIFIER               | i           |            70 |
| RELATIONAL_OPERATOR      | <           |            70 |
| INTEGER_LITERAL          | 7           |            70 |
| SEMICOLON                | ;           |            70 |
| IDENTIFIER               | i           |            70 |
| COMP_ASSIGNMENT_OPERATOR | +=          |            70 |
| INTEGER_LITERAL          | 1           |            70 |
| ROUND_BRACKET_CLOSE      | )           |            70 |
| CURLY_BRACKET_OPEN       | {           |            71 |
| DECLARE                  | declare     |            72 |
| DATA_TYPE                | int         |            72 |
| IDENTIFIER               | j           |            72 |
| ASSIGNMENT_OPERATOR      | =           |            72 |
| INTEGER_LITERAL          | 2           |            72 |
| SEMICOLON                | ;           |            72 |
| CURLY_BRACKET_CLOSE      | }           |            74 |
| CURLY_BRACKET_CLOSE      | }           |            75 |
| CURLY_BRACKET_CLOSE      | }           |            76 |
| EOF_MARKER               |             |            76 |
